"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"faithful-rain-774","finished","11224","layer:5, msm_term_freq","bert-msm-passage-05-layers","2022-02-18T07:23:29.000Z","5","23311.279296875","5.7001214027404785","0.7847999930381775","0.2726871967315674"
"usual-yogurt-772","finished","8658","layer:4, msm_term_freq","bert-msm-passage-05-layers","2022-02-18T04:59:02.000Z","4","21420.35546875","6.203310966491699","0.8029999732971191","0.27345019578933716"
"soft-sponge-769","finished","6143","layer:3, msm_term_freq","bert-msm-passage-05-layers","2022-02-18T03:16:30.000Z","3","22178.8671875","5.991159439086914","0.7982000112533569","0.27415886521339417"
"fast-elevator-766","finished","5558","layer:2, msm_term_freq","bert-msm-passage-05-layers","2022-02-18T01:43:44.000Z","2","25392.369140625","5.232954978942871","0.7666000127792358","0.25859197974205017"
"effortless-cherry-762","finished","4506","layer:1, msm_term_freq","bert-msm-passage-05-layers","2022-02-18T00:28:27.000Z","1","30796.25","4.314717769622803","0.6937999725341797","0.1926987916231155"
"youthful-voice-757","finished","3736","layer:0, msm_term_freq","bert-msm-passage-05-layers","2022-02-17T23:26:02.000Z","0","32427.984375","4.097606658935547","0.6541000008583069","0.1887751817703247"
