"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score"
"wobbly-armadillo-778","finished","15554","layer:5, msm_ner","bert-msm-passage-05-layers","2022-02-18T13:43:06.000Z","5","76432.453125","5.700006008148193","0.7921383380889893","0.6955355405807495"
"vocal-plasma-777","finished","12164","layer:4, msm_ner","bert-msm-passage-05-layers","2022-02-18T10:20:09.000Z","4","73358.0703125","5.938889026641846","0.8029330372810364","0.7174520492553711"
"laced-snowball-775","finished","10204","layer:3, msm_ner","bert-msm-passage-05-layers","2022-02-18T07:29:45.000Z","3","73018.7109375","5.966490268707275","0.8056949377059937","0.7253511548042297"
"earnest-firefly-771","finished","9217","layer:2, msm_ner","bert-msm-passage-05-layers","2022-02-18T04:55:56.000Z","2","72958.1328125","5.971444606781006","0.8088653087615967","0.7281728982925415"
"pleasant-music-768","finished","9201","layer:1, msm_ner","bert-msm-passage-05-layers","2022-02-18T02:22:22.000Z","1","74903.4375","5.816360950469971","0.8059283494949341","0.7279558181762695"
"youthful-universe-755","finished","10974","layer:0, msm_ner","bert-msm-passage-05-layers","2022-02-17T23:19:16.000Z","0","83964.375","5.188694000244141","0.7782121896743774","0.6898634433746338"
