"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/f1score","test/mrr","test/trec_ndcg@10","test/trec_ndcg@20","test/trec_map","test/precision@10","test/precision@20"
"floral-disco-1030","finished","49165","layer:9, trec_ranking","bert-msm-doc","2022-04-14T08:22:37.000Z","9","31606.662109375","3.1638898849487305","0.9131377339363098","0.7065128087997437","0.9046512246131896","0.6304903030395508","0.5974904298782349","0.3864856958389282","0.7302325963973999","0.6255814433097839"
"earthy-breeze-1029","finished","46725","layer:12, trec_ranking","bert-msm-doc","2022-04-13T10:46:04.000Z","12","33060.3046875","3.024775505065918","0.935188353061676","0.6994739174842834","0.9117471575737","0.5994442105293274","0.5596901774406433","0.34608039259910583","0.6790697574615479","0.575581431388855"
"morning-grass-1028","finished","45762","layer:11, trec_ranking","bert-msm-doc","2022-04-12T22:03:14.000Z","11","28447.71484375","3.515220880508423","0.9340919256210328","0.733777642250061","0.9077519178390504","0.6647576689720154","0.6256114840507507","0.4122864603996277","0.7627907395362854","0.6593023538589478"
"blooming-violet-1027","finished","45326","layer:10, trec_ranking","bert-msm-doc","2022-04-12T09:27:41.000Z","10","28436.833984375","3.5165657997131348","0.9291213750839232","0.7302861213684082","0.9360464811325072","0.6584688425064087","0.6281821727752686","0.40636470913887024","0.739534854888916","0.6593023538589478"
"lunar-puddle-1026","finished","36248","layer:8, trec_ranking","bert-msm-doc","2022-04-11T23:23:25.000Z","8","32085.71484375","3.116651773452759","0.9333853125572203","0.7243691682815552","0.9377906918525696","0.6291320323944092","0.5972469449043274","0.38672104477882385","0.7139534950256348","0.6127907633781433"
"different-water-1015","finished","110934","layer:7, trec_ranking","bert-msm-doc","2022-04-03T03:00:48.000Z","7","31575.00390625","3.1670620441436768","0.9141610860824584","0.7063141465187073","0.9162790775299072","0.6211754679679871","0.593107283115387","0.3901608884334564","0.7139534950256348","0.6232557892799377"
"smart-sky-1007","finished","66539","layer:6, trec_ranking","bert-msm-doc","2022-04-02T08:31:28.000Z","6","31933.619140625","3.131495952606201","0.9246138334274292","0.7244542837142944","0.8914728164672852","0.6212339401245117","0.5914724469184875","0.3951566815376282","0.7279069423675537","0.6244185566902161"
"resilient-leaf-995","finished","59319","layer:5, trec_ranking","bert-msm-doc","2022-04-01T16:02:28.000Z","5","33184.9921875","3.0134103298187256","0.9305832982063292","0.7190295457839966","0.9069767594337464","0.6249892711639404","0.5969202518463135","0.4031206667423248","0.7209302186965942","0.6267441511154175"
"vivid-dragon-974","finished","64382","layer:4, trec_ranking","bert-msm-doc","2022-03-31T22:09:02.000Z","4","35221.69140625","2.8391594886779785","0.9291457533836364","0.7279950380325317","0.9011628031730652","0.6401390433311462","0.59771329164505","0.4027802646160126","0.7488372325897217","0.6290698051452637"
"easy-donkey-969","finished","77402","layer:3, trec_ranking","bert-msm-doc","2022-03-31T00:38:16.000Z","3","36975.94921875","2.704460620880127","0.8986403942108154","0.6930102109909058","0.905813992023468","0.6113061904907227","0.5786119103431702","0.3845605254173279","0.7116279006004333","0.6069767475128174"
"wandering-resonance-967","finished","70840","layer:2, trec_ranking","bert-msm-doc","2022-03-30T04:57:12.000Z","2","42582.54296875","2.3483800888061523","0.8659665584564209","0.65483558177948","0.854374349117279","0.565244734287262","0.541079580783844","0.3495578169822693","0.6395348906517029","0.5662790536880493"
"dry-plasma-966","finished","64399","layer:1, trec_ranking","bert-msm-doc","2022-03-29T11:03:35.000Z","1","65568.6875","1.5251182317733765","0.5959017872810364","0.44707414507865906","0.28751638531684875","0.1498935967683792","0.15133333206176758","0.12072347849607468","0.1860465109348297","0.16627907752990723"
"fanciful-spaceship-964","finished","88362","layer:0, trec_ranking","bert-msm-doc","2022-03-28T10:30:34.000Z","0","66585.3359375","1.501832127571106","0.7883144021034241","0.5168533325195312","0.28078359365463257","0.11717461049556732","0.12311689555644988","0.10636850446462633","0.1418604701757431","0.13720931112766266"
