"Name","State","Runtime","Tags","model/subject_model/model_name","model/pooler/layer_to_probe","val/accuracy/max","val/loss/min","test/accuracy","test/loss","mdl","compression","Created"
"youthful-armadillo-776","finished","11830","layer:5, msm_sem_sim","bert-msm-passage-05-layers","5","0.7167999744415283","0.6520681381225586","0.7189000248908997","0.6394239664077759","28106.076171875","4.727701187133789","2022-02-18T08:12:59.000Z"
"exalted-water-773","finished","9516","layer:4, msm_sem_sim","bert-msm-passage-05-layers","4","0.7720000147819519","0.5227659940719604","0.7829999923706055","0.515720546245575","26157.54296875","5.079877853393555","2022-02-18T05:34:12.000Z"
"expert-monkey-770","finished","6868","layer:3, msm_sem_sim","bert-msm-passage-05-layers","3","0.7850000262260437","0.504497766494751","0.7900999784469604","0.4979097545146942","25478.36328125","5.215292930603027","2022-02-18T03:39:35.000Z"
"earnest-oath-767","finished","5366","layer:2, msm_sem_sim","bert-msm-passage-05-layers","2","0.7784000039100647","0.5177538990974426","0.7803999781608582","0.5120574831962585","25654.126953125","5.179561138153076","2022-02-18T02:10:00.000Z"
"eager-shadow-764","finished","4315","layer:1, msm_sem_sim","bert-msm-passage-05-layers","1","0.7734000086784363","0.5367472171783447","0.7746999859809875","0.519318699836731","25613.77734375","5.187720775604248","2022-02-18T00:57:55.000Z"
"solar-wave-756","finished","5529","layer:0, msm_sem_sim","bert-msm-passage-05-layers","0","0.7695000171661377","0.5578760504722595","0.7739999890327454","0.5363544225692749","27518.326171875","4.828677654266357","2022-02-17T23:25:36.000Z"
