"Name","State","Runtime","Tags","model/subject_model/model_name","model/pooler/layer_to_probe","val/accuracy/max","val/loss/min","test/accuracy","test/loss","mdl","compression","Created"
"cool-spaceship-765","finished","2459","layer:5, msm_bm25","bert-msm-passage-05-layers","5","0.7039999961853027","0.7108239531517029","0.699999988079071","0.7022554874420166","8048.9609375","3.714436054229736","2022-02-18T01:12:07.000Z"
"silver-serenity-763","finished","1913","layer:4, msm_bm25","bert-msm-passage-05-layers","4","0.6959999799728394","0.715941309928894","0.7039999961853027","0.6811420917510986","7760.552734375","3.8524770736694336","2022-02-18T00:40:04.000Z"
"fresh-smoke-761","finished","1419","layer:3, msm_bm25","bert-msm-passage-05-layers","3","0.6919999718666077","0.7268543243408203","0.7200000286102295","0.6933567523956299","8266.40625","3.616729021072388","2022-02-18T00:16:14.000Z"
"wobbly-armadillo-760","finished","1108","layer:2, msm_bm25","bert-msm-passage-05-layers","2","0.6859999895095825","0.7628647685050964","0.6940000057220459","0.7622974514961243","8957.8486328125","3.337559461593628","2022-02-17T23:57:36.000Z"
"clear-cloud-759","finished","915","layer:1, msm_bm25","bert-msm-passage-05-layers","1","0.6480000019073486","0.9349960088729858","0.5979999899864197","0.9315213561058044","10328.4560546875","2.894658327102661","2022-02-17T23:42:11.000Z"
"dashing-wood-758","finished","922","layer:0, msm_bm25","bert-msm-passage-05-layers","0","0.6119999885559082","1.0131505727767944","0.578000009059906","1.0095795392990112","10483.8837890625","2.8517439365386963","2022-02-17T23:26:40.000Z"
